House_ID,Area_sqft,Age_of_House_Years,Distance_to_City_Center_km,Floor_Number,Price_Lakhs,Price_per_sqft,Total_Rooms,Floor_Ratio,Location_Rural,Location_Suburb,Furnishing_Status_Semi-Furnished,Furnishing_Status_Unfurnished,Has_Parking_Yes,House_Age_Category_Moderate,House_Age_Category_Old,House_Age_Category_Very Old
HSE1507,1587.1,33.0,3.95,9,44.76,2820.2381702476214,2.0,0.5,True,False,True,False,True,False,False,True
HSE1818,1429.8,1.0,3.65,18,152.17,10642.747237375856,8.0,0.75,False,False,True,False,True,False,False,False
HSE1452,647.9,37.0,8.27,9,33.06,5102.639296187684,6.0,0.75,False,True,False,True,False,False,False,True
HSE1368,609.3,18.0,0.41,13,70.97,11647.792548826523,4.0,0.6842105263157895,False,False,False,False,False,False,True,False
HSE1242,1595.9,29.0,16.62,0,92.32,5784.8236105019105,7.0,0.0,True,False,False,True,True,False,True,False
HSE1929,2273.7,21.0,9.241999999999999,8,133.45,5869.287944759642,4.0,0.6153846153846154,False,False,False,False,True,False,True,False
HSE1262,1379.2,20.0,0.89,1,91.71,6649.506960556844,3.0,0.25,False,False,True,False,True,False,True,False
HSE1810,814.9,28.0,11.06,17,13.844999999999978,1698.9814701190303,2.0,0.5862068965517241,True,False,True,False,True,False,True,False
HSE1318,2705.8124999999995,42.0,6.936000000000002,10,92.69,3425.5884323100736,8.0,0.4166666666666667,False,False,False,False,True,False,False,True
HSE1049,2118.7,41.0,4.53,8,162.31,7660.829754094492,8.0,0.6153846153846154,False,False,False,False,False,False,False,True
HSE1446,1426.6,7.0,6.91,17,88.0,6168.512547315296,7.0,0.5666666666666667,True,False,True,False,True,True,False,False
HSE1142,1556.9,27.0,12.0,15,110.62,7105.144839103346,7.0,0.75,False,True,True,False,True,False,True,False
HSE1968,1578.8,31.0,2.9,13,111.46,7059.792247276413,4.0,0.5652173913043478,False,True,True,False,True,False,False,True
HSE1345,2219.4,41.0,2.68,16,125.52,5655.582589889159,7.0,0.6956521739130435,False,True,True,False,True,False,False,True
HSE1971,1358.9,16.0,4.78,6,83.53,6146.883508720288,2.0,0.8571428571428571,True,False,False,True,True,False,True,False
HSE1133,2034.5,15.0,8.78,2,113.51,5579.257802899975,3.0,0.6666666666666666,False,False,False,False,False,True,False,False
HSE1104,1575.8,6.0,12.91,10,93.64,5942.378474425689,2.0,0.7142857142857143,True,False,False,True,True,True,False,False
HSE1006,2171.7,11.0,2.46,0,139.36,6417.092600267073,4.0,0.0,False,False,True,False,True,True,False,False
HSE1600,1509.4,41.0,4.92,10,113.6,7526.169338810123,4.0,0.5555555555555556,False,False,False,False,False,False,False,True
HSE1496,1352.4,43.0,14.03,12,71.86,5313.516711032239,8.0,0.5714285714285714,False,True,True,False,True,False,False,True
